代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
000010.SZ,美丽生态,1995-10-27,N/A,1.4274,1.6687,1.1601,1.3068,13121700,183899786,N/A,N/A,14.0149,77.1913,239344906.24,N/A,737321840.64,16998928,0,52366608,115.7763,11.5955,6.6285,N/A,
000010.SZ,美丽生态,1995-10-30,1.3068,1.2158,1.2483,1.1137,1.1824,5033300,63639922,-0.1244,-9.517,12.6438,29.6095,216566342.72,N/A,667150585.92,16998928,0,52366608,104.7578,10.492,5.9977,N/A,
000010.SZ,美丽生态,1995-10-31,1.1824,1.1119,1.1778,0.9606,0.9745,5017800,55388241,-0.2079,-17.5824,11.0384,29.5183,178488744,N/A,549849384,16998928,0,52366608,86.3389,8.6472,4.9432,N/A,
000010.SZ,美丽生态,1995-11-01,0.9745,0.956,0.9652,0.8817,0.9142,2620500,26842250,-0.0603,-6.1905,10.2432,15.4157,167439440.8,N/A,515811088.8,16998928,0,52366608,80.9941,8.1119,4.6372,N/A,
000010.SZ,美丽生态,1995-11-02,0.9142,0.9114,0.9727,0.891,0.9281,1283500,12951720,0.0139,1.5228,10.0909,7.5505,169989280,N/A,523666080,16998928,0,52366608,82.2275,8.2354,4.7078,N/A,
000010.SZ,美丽生态,1995-11-03,0.9281,0.9541,0.956,0.9235,0.9513,1317800,13361573,0.0232,2.5,10.1393,7.7523,174239012,N/A,536757732,16998928,0,52366608,84.2832,8.4413,4.8255,N/A,
000010.SZ,美丽生态,1995-11-06,0.9513,0.9457,0.9513,0.9003,0.9142,1057900,10486486,-0.0371,-3.9024,9.9125,6.2233,167439440.8,N/A,515811088.8,16998928,0,52366608,80.9941,8.1119,4.6372,N/A,
000010.SZ,美丽生态,1995-11-07,0.9142,0.8984,0.9086,0.8539,0.8631,1051600,9926778,-0.051,-5.5838,9.4397,6.1863,158090030.4,N/A,487009454.4,16998928,0,52366608,76.4716,7.659,4.3782,N/A,
000010.SZ,美丽生态,1995-11-08,0.8631,0.8409,0.8446,0.8093,0.813,1223600,10833199,-0.0501,-5.8065,8.8535,7.1981,148910609.28,N/A,458731486.08,16998928,0,52366608,72.0313,7.2142,4.124,N/A,
000010.SZ,美丽生态,1995-11-09,0.813,0.7898,0.8334,0.7889,0.8307,658000,5772411,0.0176,2.1689,8.7727,3.8708,152140405.6,N/A,468681141.6,16998928,0,52366608,73.5936,7.3707,4.2135,N/A,
