代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
000006.SZ,深振业A,1992-04-27,N/A,1.0312,1.2499,1.0312,1.203,13100,2535000,N/A,N/A,193.5115,0.084,600395180,N/A,974485820,15594680,0,25311320,51.8512,17.9463,11.6252,N/A,
000006.SZ,深振业A,1992-04-28,1.203,1.1874,1.2499,1.1874,1.2234,43000,8472000,0.0203,1.6883,197.0233,0.2757,610531722,N/A,990938178,15594680,0,25311320,52.7266,18.2492,11.8215,N/A,
000006.SZ,深振业A,1992-04-29,1.2234,1.2234,1.2437,1.203,1.2296,34900,6841000,0.0062,0.5109,196.0172,0.2238,613650658,N/A,996000442,15594680,0,25311320,52.9959,18.3425,11.8819,N/A,
000006.SZ,深振业A,1992-04-30,1.2296,1.2296,1.2655,1.2187,1.2484,35800,7100000,0.0187,1.5248,198.324,0.2296,623007466,N/A,1011187234,15594680,0,25311320,53.804,18.6222,12.063,N/A,
000006.SZ,深振业A,1992-05-04,1.2484,1.2968,1.328,1.2968,1.3249,16400,3445000,0.0766,6.1327,210.061,0.1052,661214432,N/A,1073199968,15594680,0,25311320,57.1036,19.7642,12.8028,N/A,
000006.SZ,深振业A,1992-05-05,1.3249,1.3295,1.3437,1.3109,1.3265,169000,7172000,0.0016,0.1179,42.4379,1.0837,661994166,N/A,1074465534,15594680,0,25311320,57.171,19.7875,12.8179,N/A,
000006.SZ,深振业A,1992-05-06,1.3265,1.328,1.3749,1.3124,1.328,27900,5975000,0.0016,0.1178,214.1577,0.1789,662773900,N/A,1075731100,15594680,0,25311320,57.2383,19.8108,12.833,N/A,
000006.SZ,深振业A,1992-05-07,1.328,1.328,1.328,1.2421,1.2749,25200,5122000,-0.0531,-4,203.254,0.1616,636262944,N/A,1032701856,15594680,0,25311320,54.9488,19.0184,12.3197,N/A,
000006.SZ,深振业A,1992-05-08,1.2749,1.2812,1.2999,1.2499,1.2577,35500,7271000,-0.0172,-1.348,204.8169,0.2276,627685870,N/A,1018780630,15594680,0,25311320,54.208,18.762,12.1536,N/A,
000006.SZ,深振业A,1992-05-11,1.2577,1.2624,1.2812,1.2437,1.2796,31700,6425000,0.0219,1.7391,202.6814,0.2033,638602146,N/A,1036498554,15594680,0,25311320,55.1508,19.0883,12.365,N/A,
000006.SZ,深振业A,1992-05-12,1.2796,1.2843,1.3468,1.2812,1.3155,32700,6912000,0.0359,2.8083,211.3761,0.2097,656536028,N/A,1065606572,15594680,0,25311320,56.6996,19.6244,12.7122,N/A,
000006.SZ,深振业A,1992-05-13,1.3155,1.3155,1.3468,1.2812,1.3343,76500,16259000,0.0187,1.4252,212.5359,0.4906,665892836,N/A,1080793364,15594680,0,25311320,57.5077,19.904,12.8934,N/A,
000006.SZ,深振业A,1992-05-14,1.3343,1.3296,1.3687,1.328,1.3499,38300,8263000,0.0156,1.171,215.7441,0.2456,673690176,N/A,1093449024,15594680,0,25311320,58.1811,20.1371,13.0444,N/A,
000006.SZ,深振业A,1992-05-15,1.3499,1.3546,1.3687,1.3437,1.364,29300,6330000,0.0141,1.0417,216.041,0.1879,680707782,N/A,1104839118,15594680,0,25311320,58.7871,20.3469,13.1803,N/A,
000006.SZ,深振业A,1992-05-18,1.364,1.3687,1.4437,1.3687,1.4171,23900,5355000,0.0531,3.8946,224.0586,0.1533,707218738,N/A,1147868362,15594680,0,25311320,61.0766,21.1393,13.6936,N/A,
000006.SZ,深振业A,1992-05-19,1.4171,1.4171,1.4968,1.4171,1.453,30700,7187000,0.0359,2.5358,234.1042,0.1969,725152620,N/A,1176976380,15594680,0,25311320,62.6254,21.6754,14.0408,N/A,
000006.SZ,深振业A,1992-05-20,1.453,1.4687,1.5155,1.453,1.4843,43500,10296000,0.0312,2.1505,236.6897,0.2789,740747300,N/A,1202287700,15594680,0,25311320,63.9722,22.1415,14.3428,N/A,
000006.SZ,深振业A,1992-05-21,1.4843,1.4843,1.4843,1.4374,1.4687,33900,7894000,-0.0156,-1.0526,232.8614,0.2174,732949960,N/A,1189632040,15594680,0,25311320,63.2988,21.9084,14.1918,N/A,
000006.SZ,深振业A,1992-05-22,1.4687,1.4687,1.4843,1.453,1.4749,39300,9227000,0.0062,0.4255,234.7837,0.252,736068896,N/A,1194694304,15594680,0,25311320,63.5682,22.0016,14.2522,N/A,
000006.SZ,深振业A,1992-05-25,1.4749,1.4796,1.503,1.4749,1.4983,35300,8428000,0.0234,1.589,238.7535,0.2264,747764906,N/A,1213677794,15594680,0,25311320,64.5783,22.3513,14.4787,N/A,
000006.SZ,深振业A,1992-05-26,1.4983,1.503,1.6249,1.503,1.6155,17300,4309000,0.1172,7.8206,249.0751,0.1109,806244956,N/A,1308595244,15594680,0,25311320,69.6287,24.0993,15.611,N/A,
000006.SZ,深振业A,1992-05-27,1.6155,1.6202,1.7186,1.6093,1.6999,24200,6458000,0.0844,5.2224,266.8595,0.1552,848350592,N/A,1376935808,15594680,0,25311320,73.265,25.3578,16.4263,N/A,
000006.SZ,深振业A,1992-05-28,1.6999,1.7046,1.7046,1.6108,1.6561,46800,12311000,-0.0437,-2.5735,263.0556,0.3001,826518040,N/A,1341499960,15594680,0,25311320,71.3795,24.7052,16.0035,N/A,
000006.SZ,深振业A,1992-05-29,1.6561,1.6561,1.6874,1.6405,1.6733,35600,9452000,0.0172,1.0377,265.5056,0.2283,835095114,N/A,1355421186,15594680,0,25311320,72.1203,24.9616,16.1696,N/A,
000006.SZ,深振业A,1992-06-01,1.6733,1.6686,1.7593,1.6686,1.7296,45100,12474000,0.0562,3.3613,276.5854,0.2892,863165538,N/A,1400981562,15594680,0,25311320,74.5445,25.8007,16.7131,N/A,
