,代码,日期,开盘价(元),收盘价(元),最低价(元),最高价(元),总股本(股),总市值(元),涨跌幅(%),label
0,000010.SZ,1995-10-30,1.2158,1.1824,1.1137,1.2483,52366608,667150585.92,-9.517000000000001,1.1778
1,000010.SZ,1995-10-31,1.1119,0.9745,0.9606,1.1778,52366608,549849384.0,-17.5824,0.9652
2,000010.SZ,1995-11-01,0.956,0.9142,0.8817,0.9652,52366608,515811088.8,-6.1905,0.9727
3,000010.SZ,1995-11-02,0.9114,0.9281,0.8909999999999999,0.9727,52366608,523666080.0,1.5228,0.956
4,000010.SZ,1995-11-03,0.9541,0.9513,0.9235,0.956,52366608,536757732.0,2.5,0.9513
5,000010.SZ,1995-11-06,0.9457,0.9142,0.9003,0.9513,52366608,515811088.8,-3.9024,0.9086
6,000010.SZ,1995-11-07,0.8984,0.8631,0.8539,0.9086,52366608,487009454.4,-5.5838,0.8446
7,000010.SZ,1995-11-08,0.8409,0.813,0.8093,0.8446,52366608,458731486.08,-5.8065,0.8334
8,000010.SZ,1995-11-09,0.7898,0.8307,0.7889,0.8334,52366608,468681141.6,2.1689,0.8344
9,000010.SZ,1995-11-10,0.8307,0.8214,0.8167,0.8344,52366608,463444480.8,-1.1173,0.8214
10,000010.SZ,1995-11-13,0.8075,0.8009999999999999,0.7963,0.8214,52366608,451923827.04,-2.4859,0.8214
11,000010.SZ,1995-11-14,0.7908,0.8195,0.7908,0.8214,52366608,462397148.64,2.3175,0.8251
12,000010.SZ,1995-11-15,0.7898,0.8214,0.7898,0.8251,52366608,463444480.8,0.2265,0.8427
13,000010.SZ,1995-11-16,0.813,0.8112,0.7991,0.8427,52366608,457684153.92,-1.2429,0.8167
14,000010.SZ,1995-11-17,0.7982,0.8065,0.7982,0.8167,52366608,455065823.52,-0.5721,0.8121
15,000010.SZ,1995-11-20,0.7991,0.8065,0.7963,0.8121,52366608,455065823.52,0.0,0.8102
16,000010.SZ,1995-11-21,0.8102,0.8075,0.7982,0.8102,52366608,455589489.6,0.1151,0.8102
17,000010.SZ,1995-11-22,0.8102,0.7796,0.7703,0.8102,52366608,439879507.2,-3.4483,0.7805
