,代码,日期,开盘价(元),收盘价(元),最低价(元),最高价(元),总股本(股),总市值(元),涨跌幅(%),label
0,000006.SZ,1992-04-28,1.1874,1.2234,1.1874,1.2499,25311320,990938178.0,1.6883,1.2437
1,000006.SZ,1992-04-29,1.2234,1.2296,1.203,1.2437,25311320,996000442.0,0.5109,1.2655
2,000006.SZ,1992-04-30,1.2296,1.2484,1.2187,1.2655,25311320,1011187234.0,1.5248,1.328
3,000006.SZ,1992-05-04,1.2968,1.3249,1.2968,1.328,25311320,1073199968.0,6.1327,1.3437
4,000006.SZ,1992-05-05,1.3295,1.3265,1.3109,1.3437,25311320,1074465534.0,0.1179,1.3749
5,000006.SZ,1992-05-06,1.328,1.328,1.3124,1.3749,25311320,1075731100.0,0.1178,1.328
6,000006.SZ,1992-05-07,1.328,1.2749,1.2421,1.328,25311320,1032701856.0,-4.0,1.2999
7,000006.SZ,1992-05-08,1.2812,1.2577,1.2499,1.2999,25311320,1018780630.0,-1.348,1.2812
8,000006.SZ,1992-05-11,1.2624,1.2796,1.2437,1.2812,25311320,1036498554.0,1.7391,1.3468
9,000006.SZ,1992-05-12,1.2843,1.3155,1.2812,1.3468,25311320,1065606572.0,2.8083,1.3468
10,000006.SZ,1992-05-13,1.3155,1.3343,1.2812,1.3468,25311320,1080793364.0,1.4252,1.3687
11,000006.SZ,1992-05-14,1.3296,1.3499,1.328,1.3687,25311320,1093449024.0,1.171,1.3687
12,000006.SZ,1992-05-15,1.3546,1.364,1.3437,1.3687,25311320,1104839118.0,1.0417,1.4437
13,000006.SZ,1992-05-18,1.3687,1.4171,1.3687,1.4437,25311320,1147868362.0,3.8946,1.4968
14,000006.SZ,1992-05-19,1.4171,1.453,1.4171,1.4968,25311320,1176976380.0,2.5358,1.5155
15,000006.SZ,1992-05-20,1.4687,1.4843,1.453,1.5155,25311320,1202287700.0,2.1505,1.4843
16,000006.SZ,1992-05-21,1.4843,1.4687,1.4374,1.4843,25311320,1189632040.0,-1.0526,1.4843
17,000006.SZ,1992-05-22,1.4687,1.4749,1.453,1.4843,25311320,1194694304.0,0.4255,1.5030000000000001
18,000006.SZ,1992-05-25,1.4796,1.4983,1.4749,1.5030000000000001,25311320,1213677794.0,1.589,1.6249
19,000006.SZ,1992-05-26,1.5030000000000001,1.6155,1.5030000000000001,1.6249,25311320,1308595244.0,7.8206,1.7186
20,000006.SZ,1992-05-27,1.6202,1.6999,1.6093,1.7186,25311320,1376935808.0,5.2224,1.7046
21,000006.SZ,1992-05-28,1.7046,1.6561,1.6108,1.7046,25311320,1341499960.0,-2.5735,1.6874
22,000006.SZ,1992-05-29,1.6561,1.6733,1.6405,1.6874,25311320,1355421186.0,1.0377,1.7593
23,000006.SZ,1992-06-01,1.6686,1.7296,1.6686,1.7593,25311320,1400981562.0,3.3613,1.7296
24,000006.SZ,1992-06-02,1.7296,1.6561,1.614,1.7296,25311320,1341499960.0,-4.2457,1.6561
25,000006.SZ,1992-06-03,1.6561,1.5358,1.5249,1.6561,25311320,1244051378.0,-7.2642,1.5468
26,000006.SZ,1992-06-04,1.5343,1.5452,1.4155,1.5468,25311320,1251644774.0,0.6104,1.6499
27,000006.SZ,1992-06-05,1.5499,1.5811,1.5499,1.6499,25311320,1280752792.0,2.3256,1.5811
28,000006.SZ,1992-06-08,1.5811,1.5171,1.4687,1.5811,25311320,1228864586.0,-4.0514,1.5218
29,000006.SZ,1992-06-09,1.5218,1.4468,1.4374,1.5218,25311320,1171914116.0,-4.6344,1.5124
30,000006.SZ,1992-06-10,1.4374,1.4843,1.4062,1.5124,25311320,1202287700.0,2.5918,1.489
31,000006.SZ,1992-06-11,1.489,1.453,1.4358,1.489,25311320,1176976380.0,-2.1053,1.4780000000000002
32,000006.SZ,1992-06-12,1.4483,1.4718,1.4218,1.4780000000000002,25311320,1192163172.0,1.2903,1.4702
33,000006.SZ,1992-06-15,1.4687,1.4593,1.4468,1.4702,25311320,1182038644.0,-0.8493,1.4546
34,000006.SZ,1992-06-16,1.4546,1.3999,1.3905,1.4546,25311320,1133947136.0,-4.0685,1.4624
35,000006.SZ,1992-06-17,1.3968,1.4624,1.3124,1.4624,25311320,1184569776.0,4.4643,1.4827
36,000006.SZ,1992-06-18,1.4671,1.3858,1.3858,1.4827,25311320,1122557042.0,-5.235,1.3921
37,000006.SZ,1992-06-19,1.3780000000000001,1.3749,1.328,1.3921,25311320,1113698080.0,-0.7892,1.3749
38,000006.SZ,1992-06-22,1.3749,1.328,1.328,1.3749,25311320,1075731100.0,-3.4091,1.3499
39,000006.SZ,1992-06-23,1.3187,1.3421,1.2968,1.3499,25311320,1087121194.0,1.0588,1.3687
40,000006.SZ,1992-06-24,1.3437,1.3624,1.3421,1.3687,25311320,1103573552.0,1.5134,1.4062
41,000006.SZ,1992-06-25,1.3655,1.4062,1.3562,1.4062,25311320,1139009400.0,3.2110000000000003,1.4562
42,000006.SZ,1992-06-26,1.4015,1.4437,1.3937,1.4562,25311320,1169382984.0,2.6667,1.5624
43,000006.SZ,1992-06-29,1.4593,1.5155,1.4593,1.5624,25311320,1227599020.0,4.9784,1.5702
44,000006.SZ,1992-06-30,1.5155,1.5702,1.5155,1.5702,25311320,1271893830.0,3.6082,1.5702
45,000006.SZ,1992-07-01,1.5702,1.5155,1.4983,1.5702,25311320,1227599020.0,-3.4826,1.5155
46,000006.SZ,1992-07-02,1.5155,1.4937,1.4624,1.5155,25311320,1209881096.0,-1.4433,1.5249
47,000006.SZ,1992-07-03,1.4983,1.5218,1.4843,1.5249,25311320,1232661284.0,1.8828,1.5624
48,000006.SZ,1992-07-06,1.5187,1.4999,1.4937,1.5624,25311320,1214943360.0,-1.4374,1.5249
49,000006.SZ,1992-07-07,1.4937,1.5155,1.4687,1.5249,25311320,1227599020.0,1.0417,1.5405
50,000006.SZ,1992-07-08,1.5108,1.5312,1.5062,1.5405,25311320,1240254680.0,1.0309,1.5312
51,000006.SZ,1992-07-09,1.5312,1.5124,1.4999,1.5312,25311320,1225067888.0,-1.2245,1.5155
52,000006.SZ,1992-07-10,1.5155,1.4999,1.4843,1.5155,25311320,1214943360.0,-0.8264,1.5608
53,000006.SZ,1992-07-13,1.4999,1.5499,1.4999,1.5608,25311320,1255441472.0,3.3333,1.5811
54,000006.SZ,1992-07-14,1.5608,1.564,1.5593,1.5811,25311320,1266831566.0,0.9073,1.578
55,000006.SZ,1992-07-15,1.564,1.5718,1.5593,1.578,25311320,1273159396.0,0.4995,1.6030000000000002
56,000006.SZ,1992-07-16,1.5671,1.6030000000000002,1.5624,1.6030000000000002,25311320,1298470716.0,1.9881,1.6468
57,000006.SZ,1992-07-17,1.6077,1.6468,1.6077,1.6468,25311320,1333906564.0,2.7289999999999996,1.7343
58,000006.SZ,1992-07-20,1.6515,1.7343,1.6515,1.7343,25311320,1404778260.0,5.3131,1.7436
59,000006.SZ,1992-07-21,1.739,1.6874,1.6811,1.7436,25311320,1366811280.0,-2.7027,1.7280000000000002
60,000006.SZ,1992-07-22,1.6827,1.7155,1.6718,1.7280000000000002,25311320,1389591468.0,1.6667,1.7358
61,000006.SZ,1992-07-23,1.7155,1.7249,1.703,1.7358,25311320,1397184864.0,0.5464,1.7655
62,000006.SZ,1992-07-24,1.7280000000000002,1.7624,1.7280000000000002,1.7655,25311320,1427558448.0,2.1739,1.8186
63,000006.SZ,1992-07-27,1.7655,1.8186,1.7655,1.8186,25311320,1473118824.0,3.1915,1.8436
64,000006.SZ,1992-07-28,1.8139,1.8124,1.8124,1.8436,25311320,1468056560.0,-0.3436,1.8124
65,000006.SZ,1992-07-29,1.8124,1.8061,1.7905,1.8124,25311320,1462994296.0,-0.3448,1.8124
66,000006.SZ,1992-07-30,1.8061,1.8061,1.7968,1.8124,25311320,1462994296.0,0.0,1.8124
67,000006.SZ,1992-07-31,1.8124,1.7983,1.7968,1.8124,25311320,1456666466.0,-0.4325,1.7968
68,000006.SZ,1992-08-03,1.7827,1.6999,1.6999,1.7968,25311320,1376935808.0,-5.4735,1.7343
69,000006.SZ,1992-08-04,1.6999,1.7186,1.6718,1.7343,25311320,1392122600.0,1.1029,1.7499
70,000006.SZ,1992-08-05,1.7186,1.7499,1.7186,1.7499,25311320,1417433920.0,1.8182,1.7405
71,000006.SZ,1992-08-06,1.7405,1.7405,1.7280000000000002,1.7405,25311320,1409840524.0,-0.5357,1.7905
72,000006.SZ,1992-08-07,1.7452,1.7905,1.7186,1.7905,25311320,1450338636.0,2.8725,1.8671
73,000006.SZ,1992-08-10,1.7905,1.828,1.7905,1.8671,25311320,1480712220.0,2.0942,1.7186
74,000006.SZ,1992-08-11,1.7046,1.7108,1.6874,1.7186,25311320,1385794770.0,-6.4103,1.7499
75,000006.SZ,1992-08-12,1.7108,1.7202,1.6874,1.7499,25311320,1393388166.0,0.5479,1.7202
76,000006.SZ,1992-08-13,1.7202,1.6374,1.6374,1.7202,25311320,1326313168.0,-4.8138,1.6936
77,000006.SZ,1992-08-14,1.6374,1.6905,1.6280000000000001,1.6936,25311320,1369342412.0,3.2443,1.7655
78,000006.SZ,1992-08-17,1.714,1.7374,1.714,1.7655,25311320,1407309392.0,2.7726,1.7530000000000001
79,000006.SZ,1992-08-18,1.7374,1.7296,1.7046,1.7530000000000001,25311320,1400981562.0,-0.4496,1.7499
80,000006.SZ,1992-08-19,1.7327,1.7343,1.7249,1.7499,25311320,1404778260.0,0.271,1.7343
81,000006.SZ,1992-08-20,1.7343,1.6843,1.6843,1.7343,25311320,1364280148.0,-2.8829,1.6874
82,000006.SZ,1992-08-21,1.6874,1.6655,1.653,1.6874,25311320,1349093356.0,-1.1132,1.6608
83,000006.SZ,1992-08-24,1.6608,1.6218,1.6171,1.6608,25311320,1313657508.0,-2.6266,1.6218
84,000006.SZ,1992-08-25,1.6218,1.5968,1.5936,1.6218,25311320,1293408452.0,-1.5414,1.6483
