,代码,日期,开盘价(元),收盘价(元),最低价(元),最高价(元),总股本(股),总市值(元),涨跌幅(%),label
0,000008.SZ,1992-05-08,0.9355,0.8061,0.7947,0.9355,23760000,421740000.0,-14.0436,0.8174
1,000008.SZ,1992-05-11,0.8174,0.8151,0.7629,0.8174,23760000,426492000.0,1.1268,0.8628
2,000008.SZ,1992-05-12,0.8219,0.8424,0.772,0.8628,23760000,440748000.0,3.3426,0.8424
3,000008.SZ,1992-05-13,0.8424,0.8265,0.8083,0.8424,23760000,432432000.0,-1.8868,0.8628
4,000008.SZ,1992-05-14,0.8197,0.8628,0.8197,0.8628,23760000,451440000.0,4.3956,0.9173
5,000008.SZ,1992-05-15,0.8628,0.9128,0.8401,0.9173,23760000,477576000.0,5.7895,0.9627
6,000008.SZ,1992-05-18,0.9173,0.9514,0.9173,0.9627,23760000,497772000.0,4.2289,1.0672
7,000008.SZ,1992-05-19,0.9536,1.0354,0.9536,1.0672,23760000,541728000.0,8.8305,1.0899
8,000008.SZ,1992-05-20,1.0422,1.0399,1.0218,1.0899,23760000,544104000.0,0.4386,1.0467
9,000008.SZ,1992-05-21,1.0467,1.0376,0.9536,1.0467,23760000,542916000.0,-0.2183,1.0808
10,000008.SZ,1992-05-22,1.0308,1.0626,1.0218,1.0808,23760000,555984000.0,2.407,1.0899
11,000008.SZ,1992-05-25,1.0626,1.0853,1.0445,1.0899,23760000,567864000.0,2.1368,1.217
12,000008.SZ,1992-05-26,1.1126,1.192,1.1103,1.217,23760000,623700000.0,9.8326,1.2488
13,000008.SZ,1992-05-27,1.1852,1.2443,1.1648,1.2488,23760000,651024000.0,4.381,1.2715
14,000008.SZ,1992-05-28,1.2443,1.2193,1.2125,1.2715,23760000,637956000.0,-2.0073,1.2261
15,000008.SZ,1992-05-29,1.2261,1.1943,1.1898,1.2261,23760000,624888000.0,-2.0484,1.2352
16,000008.SZ,1992-06-01,1.2034,1.2057,1.2011,1.2352,23760000,630828000.0,0.9506,1.1943
17,000008.SZ,1992-06-02,1.1943,1.1557,1.1353,1.1943,23760000,604692000.0,-4.1431,1.1807
18,000008.SZ,1992-06-03,1.1489,1.0944,1.0899,1.1807,23760000,572616000.0,-5.3045,1.0672
19,000008.SZ,1992-06-04,1.0604,1.0672,0.9082,1.0672,23760000,558360000.0,-2.4896,1.1353
20,000008.SZ,1992-06-05,1.0672,1.0944,1.0672,1.1353,23760000,572616000.0,2.5532,1.0876
